playernm_full,playernm_first,playernm_last,pos,team,numberfire_id,cbssports_id,espn_id,fantasypros_id,foxsports_id,rotogrinders_id,rotowire_id,rotoguru_id,footballguys_id
"Matt Jones (RB, WSH)",Matt,Jones,RB, WSH,52790,2000854,17695,13947,5570,21717,10189,3552,Matt Jones
"Brandon Coleman (WR, NO)",Brandon,Coleman,WR, NO,52813,1737368,17145,12202,5424,18275,9223,5326,Brandon Coleman
"Allen Hurns (WR, JAC)",Allen,Hurns,WR, JAC,52492,2130337,17163,12996,5362,18182,9485,5341,Allen Hurns
"Kamar Aiken (WR, BAL)",Kamar,Aiken,WR, BAL,52494,1853727,14583,11081,5075,18032,8000,5275,Kamar Aiken
"Jermaine Kearse (WR, SEA)",Jermaine,Kearse,WR, SEA,51945,1631987,15428,11548,5146,13938,8100,5186,Jermaine Kearse
"Charles Clay (TE, BUF)",Charles,Clay,TE, BUF,51469,1265552,14145,10003,5078,11833,7424,4543,Charles Clay
"Vernon Davis (TE, SF)",Vernon,Davis,TE, SF,897,409254,9592,9621,4831,11786,4732,4323,Vernon Davis
"Larry Donnell (TE, NYG)",Larry,Donnell,TE, NYG,52294,1995451,15707,11992,5095,16618,9114,4585,Larry Donnell
"Andrew Quarless (TE, GB)",Andrew,Quarless,TE, GB,3046,1117622,13440,9815,5013,11842,6690,4518,Andrew Quarless
"Danny Woodhead (RB, SD)",Danny,Woodhead,RB, SD,1131,1616817,11788,9148,5012,11702,5816,2689,Danny Woodhead
"Garrett Graham (TE, HOU)",Garrett,Graham,TE, HOU,3053,565190,13371,9796,4939,12833,6534,4491,Garrett Graham
"Tyler Eifert (TE, CIN)",Tyler,Eifert,TE, CIN,52064,1691608,15788,11692,5296,16536,8782,4568,Tyler Eifert
"Austin Seferian-Jenkins (TE, TB)",Austin,Seferian-Jenkins,TE, TB,52428,1824731,16795,12145,5476,18288,9241,4602,Austin Seferian-Jenkins
"Reggie Bush (RB, SF)",Reggie,Bush,RB, SF,256,407605,9588,9525,4828,11682,4749,2495,Reggie Bush
"Cole Beasley (WR, DAL)",Cole,Beasley,WR, DAL,51933,1977145,15349,11459,5149,13639,8249,5163,Cole Beasley
"Denard Robinson (RB, JAC)",Denard,Robinson,RB, JAC,52163,1700475,15951,11628,5314,16576,8803,2901,Denard Robinson
"Richard Rodgers (TE, GB)",Richard,Rodgers,TE, GB,52490,2130257,16786,12233,5501,18108,9559,4629,Richard Rodgers
"Jarius Wright (WR, MIN)",Jarius,Wright,WR, MIN,4497,1632252,14918,11211,5199,13638,8105,5188,Jarius Wright
"Cecil Shorts (WR, HOU)",Cecil,Shorts,WR, HOU,4346,1823890,14184,9956,5432,18177,7389,5103,Cecil Shorts
"Andrew Hawkins (WR, CLE)",Andrew,Hawkins,WR, CLE,51462,1803774,13958,11041,4904,13015,7989,5140,Andrew Hawkins
"Ronnie Hillman (RB, DEN)",Ronnie,Hillman,RB, DEN,4478,1701008,14895,11289,5332,13568,8030,2856,Ronnie Hillman
"Khiry Robinson (RB, NO)",Khiry,Robinson,RB, NO,52315,2062165,16530,11909,5528,16647,9059,2920,Khiry Robinson
"Stedman Bailey (WR, STL)",Stedman,Bailey,WR, STL,52127,1664860,15822,11615,5343,16572,8616,5200,Stedman Bailey
"Michael Crabtree (WR, OAK)",Michael,Crabtree,WR, OAK,606,1125838,12563,9460,4971,12231,5961,3872,Michael Crabtree
"Coby Fleener (TE, IND)",Coby,Fleener,TE, IND,4469,1244492,14900,11220,5070,13577,8064,4552,Coby Fleener
"Knile Davis (RB, KC)",Knile,Davis,RB, KC,52131,1664705,15832,11643,5232,16542,8600,2891,Knile Davis
"Tre Mason (RB, STL)",Tre,Mason,RB, STL,52425,1824805,16784,12098,5475,18370,9291,2932,Tre Mason
"Kyle Rudolph (TE, MIN)",Kyle,Rudolph,TE, MIN,4322,1633122,14054,9906,5216,11837,7246,4537,Kyle Rudolph
"Dorial Green-Beckham (WR, TEN)",Dorial,Green-Beckham,WR, TEN,52796,1996129,17665,13904,5555,21676,10035,5382,Dorial Green-Beckham
"Taylor Gabriel (WR, CLE)",Taylor,Gabriel,WR, CLE,52559,2132670,17177,12888,5531,18048,9864,5361,Taylor Gabriel
"Mychal Rivera (TE, OAK)",Mychal,Rivera,TE, OAK,52204,1631841,15923,11700,5143,16603,8791,4574,Mychal Rivera
"Steve Johnson (WR, SD)",Steve,Johnson,WR, SD,1240,1116922,11458,9577,5002,18459,5798,3737,Steve Johnson
"Brent Celek (TE, PHI)",Brent,Celek,TE, PHI,888,408126,10605,9070,4853,11797,5403,4363,Brent Celek
"Ka'Deem Carey (RB, CHI)",Ka'Deem,Carey,RB, CHI,52442,1824669,16942,12100,5477,18076,9356,2972,KaDeem Carey
"Jared Cook (TE, STL)",Jared,Cook,TE, STL,1168,584314,12537,9265,4927,11810,5981,4437,Jared Cook
"Jeff Janis (WR, GB)",Jeff,Janis,WR, GB,52646,2028397,17137,12318,5535,18102,9466,5351,Jeff Janis
"Cameron Artis-Payne (RB, CAR)",Cameron,Artis-Payne,RB, CAR,52786,2061215,17704,13942,5605,21730,10187,2999,Cameron Artis-Payne
"Chris Johnson (RB, ARI)",Chris,Johnson,RB, ARI,201,523490,11258,9123,4898,11673,5627,2645,Chris Johnson
"Eric Ebron (TE, DET)",Eric,Ebron,TE, DET,52429,1865396,16732,12143,5494,18088,9210,4601,Eric Ebron
"Mohamed Sanu (WR, CIN)",Mohamed,Sanu,WR, CIN,4483,1664646,14922,11200,5225,13586,8026,5159,Mohamed Sanu
"Jeremy Kerley (WR, NYJ)",Jeremy,Kerley,WR, NYJ,4363,1273689,14151,9986,5074,12911,7392,5111,Jeremy Kerley
"Ladarius Green (TE, SD)",Ladarius,Green,TE, SD,4494,1631427,14904,11221,5209,13578,8113,4562,Ladarius Green
"Jeff Cumberland (TE, NYJ)",Jeff,Cumberland,TE, NYJ,3141,1115107,13555,11051,4994,12766,6838,4481,Jeff Cumberland
"Damien Williams (RB, MIA)",Damien,Williams,RB, MIA,52503,2130689,17138,12334,5521,18131,9644,2957,Damien Williams
"Jerick McKinnon (RB, MIN)",Jerick,McKinnon,RB, MIN,52443,2129436,16782,12209,5457,18113,9529,2935,Jerick McKinnon
"Josh Huff (WR, PHI)",Josh,Huff,WR, PHI,52439,1737474,16779,12132,5418,18236,9460,5261,Josh Huff
"Andre Holmes (WR, OAK)",Andre,Holmes,WR, OAK,51932,1724424,14403,11406,5434,13024,7405,5177,Andre Holmes
"Duke Johnson (RB, CLE)",Duke,Johnson,RB, CLE,52798,1998316,17658,13939,5569,21581,10084,2997,Duke Johnson
"Bilal Powell (RB, NYJ)",Bilal,Powell,RB, NYJ,4352,1265393,14129,9963,5096,11741,7367,2819,Bilal Powell
"Gary Barnidge (TE, CLE)",Gary,Barnidge,TE, CLE,1111,522814,11364,9226,4906,12767,5783,4401,Gary Barnidge
"Benjamin Watson (TE, NO)",Benjamin,Watson,TE, NO,1080,493107,5557,9040,4865,11798,3872,4292,Ben Watson
"Fred Jackson (RB, SEA)",Fred,Jackson,RB, SEA,222,1102782,10195,9220,4981,11696,5065,2520,Fred Jackson
"Robert Woods (WR, BUF)",Robert,Woods,WR, BUF,52083,1754280,15880,11610,5420,16566,8628,5217,Robert Woods
"Lance Dunbar (RB, DAL)",Lance,Dunbar,RB, DAL,51938,1977147,15369,11441,5210,13875,8086,2880,Lance Dunbar
"Troy Niklas (TE, ARI)",Troy,Niklas,TE, ARI,52576,1893206,16797,12151,5509,18353,9292,4605,Troy Niklas
"DeVante Parker (WR, MIA)",DeVante,Parker,WR, MIA,52783,1851283,17593,13897,5546,21637,10152,5380,DeVante Parker
"Harry Douglas (WR, TEN)",Harry,Douglas,WR, TEN,643,436547,11318,9784,4852,12210,5699,3731,Harry Douglas
"Ryan Mallett (QB, HOU)",Ryan,Mallett,QB, HOU,4334,1632241,14037,9864,5023,11649,7243,1401,Ryan Mallett
"Marlon Brown (WR, BAL)",Marlon,Brown,WR, BAL,52274,1700701,16581,11930,5328,16599,8936,5226,Marlon Brown
"Nate Washington (WR, HOU)",Nate,Washington,WR, HOU,592,553478,9307,9488,4846,12155,4648,3581,Nate Washington
"Toby Gerhart (RB, JAC)",Toby,Gerhart,RB, JAC,2183,1117729,13211,9695,4988,11723,6445,2736,Toby Gerhart
"Philly Brown (WR, CAR)",Philly,Brown,WR, CAR,52497,2130815,17167,13511,5463,18266,9486,5362,Corey Brown
